State,Buddhist,Christian,FolkReligions,Hindu,Jewish,Muslim,OtherReligions,unknown
Brazil,250000,173300000,5540000,0,110000,40000,300000,15410000
China,244130000,68410000,294320000,20000,0,24690000,9080000,700680000
India,9250000,31130000,5840000,973750000,10000,176190000,27560000,870000
Indonesia,1720000,23660000,750000,4050000,0,209120000,340000,240000
UnitedStates,3570000,243060000,630000,1790000,5690000,2770000,1900000,50980000
